companyName,license,transform
네이버,"본 폰트 소프트웨어는 SIL 오픈 폰트 라이선스 버전 1.1에 따라 라이선스 취득을 하였습니다.
본 라이선스는 하단에 복사되었고 http://scripts.sil.org/OFL의 FAQ란 에서도 열람가능 합니다.  
 
SIL 오픈 폰트 라이선스
버전 1.1 (2007년 2월 26일)    

본 폰트 소프트웨어를 사용하도록 허가 받은 개인/기업/단체 누구라도 다음 명시된 조건에 따라 
폰트 소프트웨어의 수정 혹은 수정되지 않은 복사본을 무료로 사용, 연구, 복사, 통합, 삽입, 수정, 
재배포할 수 있도록 허가합니다

본 폰트 소프트웨어의 원본 혹은 수정본은 상기 저작권 안내와 본 라이선스에 대한 내용을 포함하는 
경우에는 다른 소프트웨어와 함께 묶이거나 재배포 혹은 판매가 가능합니다. 이는 독립 텍스트 파일과 
가독성이 있는 헤더 혹은 유저가 용이하게 열람 가능한 이상 텍스트파일 혹은 이진파일 내 기계가 읽을 
수 있는 메타데이터 형태를 모두 의미 합니다.  

본 폰트 소프트웨어의 어떠한 수정본도 동일한 저작권자가 명시적 허가서를 부여하지 않는 한 저작권이 
있는 폰트명을 사용해서는 안 됩니다. 본 제한 사항은 유저들에게 제공된 기존 폰트명을 뜻합니다.

본 폰트 소프트웨어의 저작권자 혹은 저자의 이름은 그들의 명시적 서면 허가가 있거나 또는 그들의 공헌을 
인정하기 위한 경우를 제외하고는 수정본에 대한 사용을 유도,추천 혹은 광고하기 위한 목적으로 사용할 수
없습니다.  

본 폰트 소프트웨어는 전체나 부분, 혹은 수정 여부에 상관없이 본 라이선스 하에 배포가 되어야 하며 기타 
다른 라이선스 하에서는 배포를 할 수 없습니다. 폰트에 대한 요구조건은 이 라이선스 하에서만 유효하며 
이 라이선스 하에 있기 위한 폰트에 대한 요구사항은 본 폰트 소프트웨어를 사용해 제작한 어떠한 문서에도 
적용되지 않습니다.",2
제주도청,"영상매체, 인쇄매체, 웹, 모바일 등 다양한 매체에 자유롭게 사용이 가능하며, 특별한 허가절차 없이 사용할 수 있습니다.

다만, 제주전용서체를 유료로 양도하거나 판매하는 등 상업적 행위는 금지하고 있습니다.",2
우아한형제들,"배달의민족 폰트의 지적 재산권은 ㈜우아한형제들에 있습니다.
배달의민족 폰트는 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며 자유롭게 수정하고 
재배포하실 수 있습니다.

단, 글꼴 자체를 유료로 판매하는 것은 금지하며, 배달의민족 폰트는 본 저작권 안내와 라이선스 전문을 
포함해서 다른 소프트웨어와 번들하거나 재배포 또는 판매가 가능합니다. 배달의민족 폰트 라이선스 
전문을 포함하기 어려울 경우, 배달의민족 폰트의 출처 표기를 권장합니다.
예) 이 페이지에는 우아한형제들에서 제공한 배달의민족 폰트가 적용되어 있습니다

배달의민족 폰트를 사용한 인쇄물, 광고물(온라인 포함)의 이미지는 우아한형제들(배달의민족) 프로모션을 
위해 활용될 수 있습니다. 이를 원치 않는 사용자는 언제든지 당사에 요청하실 수 있습니다. 정확한 사용 
조건은 아래 배달의민족 폰트 라이선스 전문을 참고하시기 바랍니다.

본 폰트 소프트웨어는 SIL 오픈 폰트 라이선스 버전 1.1에 따라 라이선스 취득을 하였습니다. 본 라이선스는 
하단에 복사되었고 http://scripts.sil.org/OFL의 FAQ란 에서도 열람가능 합니다. SIL 오픈 폰트 라이선스 
버전 1.1 ",2
전라북도청,"1)  개인, 단체 그리고 기업에 상관없이 사용이 가능합니다. 
2) 간판, BI, CI, 현수막, 포스터, 영상, 서적, 전자책, 웹사이트, 상품포장지, 프레젠테이션, 가능합니다.
3). (앱이나 기기에)임베디드, 원본 글꼴 일부 변형, cid, type3 등- 이는 저희와 라이센스를 해야 가능합니다.  
기타 자세한 것은 담당자 ( 010-2289-5203 송방용 실장)께 문의하세요.  ",2
김제시청,"1)  개인, 단체 그리고 기업에 상관없이 사용이 가능합니다. 
2) 간판, BI, CI, 현수막, 포스터, 영상, 서적, 전자책, 웹사이트, 상품포장지, 프레젠테이션, 가능합니다.
3). (앱이나 기기에)임베디드, 원본 글꼴 일부 변형, cid, type3 등- 이는 저희와 라이센스를 해야 가능합니다.  
기타 자세한 것은 담당자 ( 010-2289-5203 송방용 실장)께 문의하세요.  ",1
서울시청,"서울서체는 누구나 무료로 다운로드 받아 자유롭게 사용할 수 있습니다.
영상매체, 인쇄매체, 웹 등 다양한 매체에 자유롭게 사용이 가능하며,
특별한 허가 절차 없이 사용할 수 있습니다.
다만, 서울서체를 유료로 양도하거나 판매하는 등 상업적 행위는 금지하고 있습니다.",2
아모레퍼시픽,"*사용이 금지되는 상업적 사용의 예
1. 판매용 제품 및 포장용 상자에의 사용
2. CI 또는 BI로의 사용
*저작권자를 밝히고 사용이 가능한 예
1. 출판용 서책
2. 판매용이 아닌 각종 인쇄물
3. 기업을 대표하는 Website 디자인
“이 제작물은 아모레퍼시픽의 아리따글꼴을 사용하여 디자인 되었습니다.”
라는 문안을 6px 이상의 size로 명기하시면 사용이 가능합니다.",0
전라남도청,"푸른전남체는 누구나 무료로 다운로드 받아 자유롭게 사용할 수 있습니다.
영상매체, 인쇄매체, 웹 등 다양한 매체에 자유롭게 사용이 가능하며, 특별한 허가 절차 없이 사용할 수 있습니다. 다만, 푸른전남체를 유료 양도 및 판매하는 상업적 행위와 변형·배포 또는 상업적 재배포는 금지합니다.
참고 인쇄물(포스터, 브로슈어, 리플릿 등) 이나 출판용 서체, 웹사이트 등 저작권자를 밝히어 사용가능한 곳은 저작권자를 밝히고 사용하여 주시기 바랍니다. 예) 이 인쇄물(본문)은 푸른전남체를 사용하여 디자인되었습니다.",0
산돌 X 윤태호,"미생체는 저작권으로부터 완전히 자유로운 폰트입니다. 단, 미생체를 유료 양도 및 판매하는 상업적 행위는 금지합니다.",2
조선일보," 조선일보명조체의 지적재산권은 (주)조선일보사에 있습니다.
조선일보명조체는 개인 및 기업 사용자에게 무료 제공되며, 사용자들은 이를 다른 이에게 자유롭게 배포할 수 있습니다.
다만 어떠한 경우에도 복사 또는 배포에 따른 대가를 요구할 수 없습니다.
조선일보명조체는 지적재산권자 이외의 사용자가 수정해서 판매할 수 없으며, 배포된 형태 그대로 사용해야 합니다.
",0
야놀자,"야놀자글꼴의 지적 재산권은 (주)야놀자에 있습니다. 
개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며 자유롭게 수정, 재배포가 가능합니다.",2
아산시청,"아산시가 제공하는 이순신체 및 이순신 돋움체는 무료입니다. 
개인, 학교, 공공기관 등 누구나 무료로 사용 가능 
영상 및 인쇄매체, 웹과 모바일 등 제한없이 사용 가능",2
남승우,"부산바다체의 지적 재산권은 개발자 남승우에게 있습니다. 
부산바다체는 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며 자유롭게 수정, 재배포가 가능합니다.",2
더페이스샵,"사용범위 개인/ 상업적 용도 모두 이용 가능 폰트 
사용 금지 규정(장 변형금지/ 평 변형 금지/ 기울기 적용 금지) 지키며 재배포 및 활용 가능 
*기타 폰트 사용 관련 문의: thefaceshop@lgcare.com",0
가비아,"가비아 글꼴의 지적재산권은 ㈜가비아가 소유하고 있습니다.
가비아 글꼴은 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며 자유롭게 수정하고 재배포가 가능 합니다. 
단, 가비아 글꼴 자체를 유료로 판매하는 것은 금지하며, 다른 소프트웨어와 번들하거나 재배포 또는 판매 하는 경우 가비아 글꼴의 출처 표기를 하여야 합니다. 
가비아 글꼴을 사용한 인쇄물, 광고물(온라인 포함)의 이미지는 가비아 글꼴의 프로모션을 위해 활용될 수 있습니다. 
다만, 이를 원치 않는 사용자는 언제든지 ㈜가비아에 요청하실 수 있습니다. 
가비아 글꼴 ‘가비아 납작블럭체, 가비아 솔미체, 가비아 봄바람체’ 폰트명에 대한 저작권은 ㈜가비아에 있습니다.",2
티몬,"티몬 몬소리체의 지적 재산권은 티몬에게 있으며, 오픈 라이선스로 자유롭게 수정하고 재배포 하실 수 있습니다.",2
빙그레,"빙그레체의 지적 재산권은 빙그레(www.bing.co.kr)에 있습니다. 
빙그레체는 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공합니다. 단, 대한민국 외에서 빙그레체를 다운받거나 사용하고자 하는 경우 이러한 복제 및 사용과 관련하여는 반드시 당사의 사전 허락을 받아야 하며, 당사의 사전 허락 없는 대한민국 외에서의 복제 및 사용은 허락되지 않습니다. 
빙그레체는 인쇄물, 광고물, 온라인 등 상업적 목적으로 사용할 수 있습니다. 
단, 글꼴 자체를 유료로 판매하는 것은 금지하며 빙그레체는 수정 및 재배포를 할 수 없으며, 배포되는 형태 그대로 사용해야 합니다. 
빙그레체를 사용한 인쇄물, 광고물(온라인 포함)의 이미지는 빙그레 프로모션을 위해 활용될 수 있으므로, 빙그레체의 사용시 이러한 활용에 동의하는 것으로 간주됩니다.
이를 원치 않는 사용자는 언제든지 당사에 협의를 요청하실 수 있습니다. 
문의(www.bing.co.kr) ",0
산돌 X 스웨거,"폰트 ‘스웨거체’의 지적재산권은 ㈜아트앤디자인인터내셔널과 ㈜산돌커뮤니케이션이 공동 소유하고 있습니다. 

스웨거체는 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며, 자유롭게 사용할 수 있습니다. 단, 로고 형태와 그래픽 형태를 띄는 글리프 글자체의 경우 스웨거의 상표권이 우선합니다. 
따라서, 글리프 글자체는 비상업적인 용도에 한해 사용이 가능합니다. 배포된 파일 그대로 사용해야 하며, 글꼴 자체를 유료로 판매하거나, 어떠한 형태로든 글꼴을 임의 수정하거나, 개작하여 재배포 하는 것은 금지합니다. 

스웨거체는 본 저작권 안내와 라이선스 전문을 포함해서 다른 소프트웨어에 임베딩 또는 번들하여 판매하거나 재배포가 가능합니다. 스웨거체 라이선스 전문을 포함하기 어려울 경우, 스웨거체의 출처 표기를 권장합니다.
예) 이 페이지에는 ㈜아트앤디자인인터내셔널과 ㈜산돌커뮤니케이션이 제공한 스웨거체가 적용되어 있습니다. 
스웨거체를 사용한 인쇄물, 광고물(온라인 포함)의 이미지는 스웨거(㈜아트앤디자인인터내셔널)와 산돌(㈜산돌커뮤니케이션)의 프로모션을 위해 활용될 수 있습니다. 이를 원치 않는 사용자는 언제든지 당사에 요청하실 수 있습니다. ",0
Hyun S. Choi,"개인, 모든 상업용도로 사용 가능
상업용도라 함은 CI 및 BI 개발, 포스터, 프린팅 등 영리적 목적으로 사용되는 형태를 말합니다.
*영문은 네이버 나눔고딕 Light체입니다.",2
포천시청,"*사용범위
포천서체 3종(포천 오성과 한음체B, 포천 오성과 한음체R, 포천 막걸리체)은 개인 및 기업 사용자에게 무료로 제공되는 서체이며, 포천서체의 지식재산권은 포천시에 있습니다. 
포천서체 3종은 유료로 양도하거나 판매할 수 없으며, 배포되는 형태 그대로 (원본 글씨 형태의 변형 없이)사용해야 합니다.

*참고사항
인쇄물(포스터, 브로슈어, 리플렛 등)이나 출판용 서책, Website 등 저작권자를 밝히고 사용이 가능한 곳은 저작권을 밝히고 사용하여 주시기 바랍니다.
예) 이 인쇄물(본문)은 포천 오성과 한음체R를 사용하여 디자인 되었습니다.",0
동그라미재단,"동그라미재단은 모두가 제약 없이 동그라미재단 서체를 사용할 수 있도록 무료로 배포하고 있습니다.

동그라미재단 서체의 지적재산권은 동그라미재단에 있습니다.
동그라미재단 서체는 개인 및 기업 사용자를 포함한 모든 사용자에게 무료로 제공되며 자유롭게 수정하고 재배포하실 수 있습니다. 단, 글꼴 자체를 유료로 판매하는 것은 금지합니다.

동그라미재단 서체를 사용하실 경우 출처 표기를 권장합니다.
예) 이 페이지에는 동그라미재단에서 제공한 동그라미재단서체가 적용되어 있습니다.

동그라미재단 서체를 사용한 인쇄물, 광고물(온라인 포함)의 이미지는 동그라미재단서체 프로모션을 위해 활용될 수 있습니다.
이를 원치 않는 사용자는 언제든지 재단에 요청하실 수 있습니다.",2
경기도청,"경기도 서체는 누구나 무료로 다운로드 받아 자유롭게 사용할 수 있습니다.
영상, 인쇄, 웹 등 다양한 매체에 자유롭게 사용이 가능하며, 특별한 허가 절차 없이 사용할 수 있습니다.
다만, 경기도 서체를 유료로 양도하거나 판매하는 등 상업적 행위는 금지하고 있습니다.",2
